trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.9171049245821413, 'a': 0.8}",30,0,-160.99817239057424,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
43,False,"{'e': 0.913241854348274, 'a': 0.8}",25,0,-237.4414065011749,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
44,False,"{'e': 0.9093036636463199, 'a': 0.8}",35,6,-80.07106868386977,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 0}",1
45,False,"{'e': 0.905291466276012, 'a': 0.8}",20,12,13.74789039339867,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'e': 0.9012063934421635, 'a': 0.8}",25,0,-187.76261162865444,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
47,False,"{'e': 0.8970495932241513, 'a': 0.8}",25,0,-118.73862343339529,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
48,False,"{'e': 0.8928222300393066, 'a': 0.8}",30,0,-90.13651012213167,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
49,False,"{'e': 0.8885254841005628, 'a': 0.8}",25,0,7.92005540310739,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
50,False,"{'e': 0.884160550868714, 'a': 0.8}",20,11,-21.816384453738486,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
51,False,"{'e': 0.8797286404996391, 'a': 0.8}",25,15,-3.4475169147021205,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'e': 0.8752309772868463, 'a': 0.8}",30,0,-58.61429397165625,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
53,False,"{'e': 0.8706687990997, 'a': 0.8}",25,0,-177.18953507303144,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
54,False,"{'e': 0.8660433568176853, 'a': 0.8}",20,0,-22.730531660080842,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
55,False,"{'e': 0.8613559137610741, 'a': 0.8}",30,0,-154.25628835380584,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
56,False,"{'e': 0.856607745118352, 'a': 0.8}",25,0,-141.8122618761928,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
57,False,"{'e': 0.8518001373707682, 'a': 0.8}",20,0,-90.420190561602,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
58,False,"{'e': 0.8469343877143695, 'a': 0.8}",25,0,-162.78353577280322,"{0: 13, 1: 7, 2: 2, 3: 0, 4: 3}",0
59,False,"{'e': 0.8420118034798807, 'a': 0.8}",25,3,-139.58457291445703,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 2}",1
